step,customer,age,gender,merchant,category,amount,fraud
59,'C126638730','3','F','M857378720','es_hotelservices',2044.26,1
41,'C296571542','2','F','M980657600','es_sportsandtoys',2324.5,1
149,'C586511331','5','F','M348934600','es_transportation',2176.32,0
60,'C299858046','2','F','M348934600','es_transportation',2337.41,0
108,'C691839786','3','M','M480139044','es_health',2220.11,1
156,'C650117238','3','M','M1888755466','es_otherservices',2004.32,1
151,'C341292164','3','F','M78078399','es_wellnessandbeauty',2278.02,1
106,'C881073190','2','F','M2011752106','es_hotelservices',2069.53,1
128,'C1722275939','1','F','M480139044','es_health',2070.15,1
77,'C1817318774','2','F','M732195782','es_travel',2238.82,1
45,'C323996741','4','M','M348934600','es_transportation',2667.09,0
64,'C1057259459','3','F','M1823072687','es_transportation',2520.5,0
91,'C49915499','4','M','M1823072687','es_transportation',2190.53,0
56,'C21670075','2','F','M3697346','es_leisure',2451.92,1
57,'C374616385','1','F','M732195782','es_travel',2305.11,1
43,'C1648056680','2','F','M348934600','es_transportation',2764,0
141,'C350034124','1','F','M980657600','es_sportsandtoys',2328.02,1
62,'C1460082550','6','F','M480139044','es_health',2707.22,1
95,'C2145448250','5','F','M1823072687','es_transportation',2198.58,0
163,'C1256072323','2','M','M1823072687','es_transportation',2304.21,0
53,'C59713083','4','M','M348934600','es_transportation',2154.77,0
171,'C1014347664','6','M','M980657600','es_sportsandtoys',2122.04,1
46,'C1769359992','3','F','M348934600','es_transportation',2881.04,0
13,'C1849046345','4','F','M732195782','es_travel',2083.07,1
127,'C417267123','2','F','M732195782','es_travel',2432.27,1
156,'C328208842','3','F','M1823072687','es_transportation',2087.68,0
133,'C1007572087','2','F','M78078399','es_wellnessandbeauty',2289.21,0
126,'C1723242462','5','M','M1823072687','es_transportation',2560.9,0
45,'C1367581052','4','M','M980657600','es_sportsandtoys',2135.11,1
53,'C2082605784','3','M','M1823072687','es_transportation',2256.37,0
95,'C330615170','2','F','M78078399','es_wellnessandbeauty',2066.6,1
23,'C359628860','4','F','M1823072687','es_transportation',2189.22,0
81,'C1378412230','2','F','M1400236507','es_home',2364.68,0
138,'C1998442183','3','F','M85975013','es_food',2398.57,0
38,'C1628225593','3','M','M348934600','es_transportation',2119.81,0
113,'C965801920','3','F','M1888755466','es_otherservices',2506.77,1
25,'C728432657','2','F','M1873032707','es_hotelservices',2383.14,1
42,'C694265356','3','F','M348934600','es_transportation',2321.7,0
168,'C1389311354','5','M','M348934600','es_transportation',2908.5,0
45,'C114388565','4','M','M348934600','es_transportation',2142.86,0
103,'C1903013338','3','M','M2011752106','es_hotelservices',2255.14,1
134,'C1655514881','2','M','M857378720','es_hotelservices',2021.93,1
74,'C1965017830','5','M','M1946091778','es_wellnessandbeauty',2212.16,0
153,'C910454738','4','F','M209847108','es_wellnessandbeauty',2329.13,1
143,'C1290724680','4','M','M980657600','es_sportsandtoys',2933.69,1
33,'C454240137','5','M','M855959430','es_hyper',2132.13,1
41,'C218446443','2','M','M840466850','es_tech',2285.16,1
99,'C1647495093','3','M','M857378720','es_hotelservices',2352.7,1
88,'C2055489140','5','M','M348934600','es_transportation',3041.31,0
95,'C982406682','1','M','M1823072687','es_transportation',2591.83,0
33,'C1846274338','3','M','M85975013','es_food',2298.44,0
76,'C750714109','3','F','M1198415165','es_wellnessandbeauty',2112.77,1
93,'C940143351','4','M','M2122776122','es_home',2905.54,1
10,'C868061193','3','F','M348934600','es_transportation',3126.96,0
126,'C843090653','4','F','M1823072687','es_transportation',2222.26,0
167,'C311188483','5','M','M1823072687','es_transportation',2399.22,0
164,'C706685788','1','F','M1823072687','es_transportation',5387.85,0
68,'C1289834917','2','F','M980657600','es_sportsandtoys',8888.3,1
58,'C910454738','4','F','M1198415165','es_wellnessandbeauty',2397.63,1
114,'C1839662768','3','F','M209847108','es_wellnessandbeauty',2092.01,1
106,'C1427539236','2','F','M1823072687','es_transportation',2809.46,0
97,'C575345520','2','F','M2122776122','es_home',2896.93,1
4,'C490558731','5','M','M348934600','es_transportation',2396.36,0
4,'C1723242462','5','M','M1823072687','es_transportation',2661.53,0
116,'C791154308','0','F','M1823072687','es_transportation',2801.49,0
50,'C255059556','3','M','M348934600','es_transportation',2149.11,0
132,'C1081944543','4','F','M1823072687','es_transportation',2265.33,0
54,'C1781953799','5','M','M151143676','es_barsandrestaurants',2167.27,0
167,'C106397937','5','M','M1823072687','es_transportation',2836.04,0
98,'C1123627503','0','F','M1823072687','es_transportation',2195.37,0
32,'C1814131114','2','F','M1198415165','es_wellnessandbeauty',2326.34,1
121,'C1835412106','2','F','M348875670','es_hotelservices',2307.06,1
77,'C931370744','2','F','M547558035','es_fashion',2646.92,1
82,'C1337135199','2','M','M50039827','es_health',2526.09,1
128,'C790600178','6','M','M980657600','es_sportsandtoys',2349.85,1
52,'C1835412106','2','F','M857378720','es_hotelservices',2153.08,1
111,'C1517749848','2','F','M1823072687','es_transportation',2141.83,0
147,'C2044438336','2','M','M348934600','es_transportation',2022.43,0
44,'C806399525','2','F','M840466850','es_tech',2388.51,1
71,'C2078688167','3','F','M732195782','es_travel',2041.98,1
134,'C647089636','5','F','M1823072687','es_transportation',2788.67,0
28,'C1871220408','2','M','M1198415165','es_wellnessandbeauty',3167.18,0
35,'C2137381129','1','M','M480139044','es_health',2184.72,1
99,'C261398093','3','F','M980657600','es_sportsandtoys',2258.01,1
97,'C1107442215','2','F','M1823072687','es_transportation',2030.04,0
127,'C289653430','1','F','M50039827','es_health',2586.05,1
