step,customer,age,gender,merchant,category,amount,fraud
59,'C126638730','3','F','M857378720','es_hotelservices',438.35,1
41,'C296571542','2','F','M980657600','es_sportsandtoys',98.65,1
149,'C586511331','5','F','M348934600','es_transportation',0.11,0
60,'C299858046','2','F','M348934600','es_transportation',10.29,0
108,'C691839786','3','M','M480139044','es_health',434.92,1
156,'C650117238','3','M','M1888755466','es_otherservices',49.69,1
151,'C341292164','3','F','M78078399','es_wellnessandbeauty',246.8,1
106,'C881073190','2','F','M2011752106','es_hotelservices',552.89,1
128,'C1722275939','1','F','M480139044','es_health',126.22,1
77,'C1817318774','2','F','M732195782','es_travel',7272.41,1
45,'C323996741','4','M','M348934600','es_transportation',19.6,0
64,'C1057259459','3','F','M1823072687','es_transportation',16.51,0
91,'C49915499','4','M','M1823072687','es_transportation',26.31,0
56,'C21670075','2','F','M3697346','es_leisure',310.06,1
57,'C374616385','1','F','M732195782','es_travel',1451.14,1
43,'C1648056680','2','F','M348934600','es_transportation',31.89,0
141,'C350034124','1','F','M980657600','es_sportsandtoys',536.1,1
62,'C1460082550','6','F','M480139044','es_health',499.58,1
95,'C2145448250','5','F','M1823072687','es_transportation',59.14,0
163,'C1256072323','2','M','M1823072687','es_transportation',39,0
53,'C59713083','4','M','M348934600','es_transportation',33.45,0
171,'C1014347664','6','M','M980657600','es_sportsandtoys',341.27,1
46,'C1769359992','3','F','M348934600','es_transportation',6.96,0
13,'C1849046345','4','F','M732195782','es_travel',3333.31,1
127,'C417267123','2','F','M732195782','es_travel',4672.92,1
156,'C328208842','3','F','M1823072687','es_transportation',18.7,0
133,'C1007572087','2','F','M78078399','es_wellnessandbeauty',93.9,0
126,'C1723242462','5','M','M1823072687','es_transportation',3,0
45,'C1367581052','4','M','M980657600','es_sportsandtoys',853.54,1
53,'C2082605784','3','M','M1823072687','es_transportation',47.05,0
95,'C330615170','2','F','M78078399','es_wellnessandbeauty',144.65,1
23,'C359628860','4','F','M1823072687','es_transportation',13.75,0
81,'C1378412230','2','F','M1400236507','es_home',91.3,0
138,'C1998442183','3','F','M85975013','es_food',34.29,0
38,'C1628225593','3','M','M348934600','es_transportation',4.55,0
113,'C965801920','3','F','M1888755466','es_otherservices',269.05,1
25,'C728432657','2','F','M1873032707','es_hotelservices',219.36,1
42,'C694265356','3','F','M348934600','es_transportation',54.03,0
168,'C1389311354','5','M','M348934600','es_transportation',37,0
45,'C114388565','4','M','M348934600','es_transportation',54.85,0
103,'C1903013338','3','M','M2011752106','es_hotelservices',252.45,1
134,'C1655514881','2','M','M857378720','es_hotelservices',475.7,1
74,'C1965017830','5','M','M1946091778','es_wellnessandbeauty',73.4,0
153,'C910454738','4','F','M209847108','es_wellnessandbeauty',196.03,1
143,'C1290724680','4','M','M980657600','es_sportsandtoys',565.89,1
33,'C454240137','5','M','M855959430','es_hyper',133.05,1
41,'C218446443','2','M','M840466850','es_tech',630.86,1
99,'C1647495093','3','M','M857378720','es_hotelservices',267.29,1
