step,customer,age,gender,merchant,category,amount,fraud
0,'C583110837','3','M','M480139044','es_health',2044.26,1
0,'C1332295774','3','M','M480139044','es_health',2324.5,1
0,'C1160421902','3','M','M857378720','es_hotelservices',2176.32,1
0,'C966214713','3','M','M857378720','es_hotelservices',2337.41,1
0,'C1450140987','4','F','M1198415165','es_wellnessandbeauty',2220.11,1
0,'C60026962','2','F','M1198415165','es_wellnessandbeauty',2004.32,1
0,'C1685492470','2','F','M980657600','es_sportsandtoys',2278.02,1
0,'C1275518867','5','F','M980657600','es_sportsandtoys',2069.53,1
0,'C1734487337','4','F','M1741626453','es_sportsandtoys',2070.15,1
0,'C204205576','3','F','M1741626453','es_sportsandtoys',2238.82,1
0,'C583110837','3','M','M480139044','es_health',2667.09,1
0,'C1079254393','1','F','M480139044','es_health',2520.5,1
0,'C330615170','2','F','M1535107174','es_wellnessandbeauty',2190.53,1
0,'C330615170','2','F','M1535107174','es_wellnessandbeauty',2451.92,1
0,'C1275518867','5','F','M980657600','es_sportsandtoys',2305.11,1
0,'C1685492470','2','F','M980657600','es_sportsandtoys',2764,1
0,'C1038215695','4','M','M2122776122','es_home',2328.02,1
0,'C1764447156','3','F','M2122776122','es_home',2707.22,1
0,'C555482626','3','F','M209847108','es_wellnessandbeauty',2198.58,1
0,'C792341594','3','M','M209847108','es_wellnessandbeauty',2304.21,1
0,'C2027310658','4','F','M1535107174','es_wellnessandbeauty',2154.77,1
0,'C967677653','4','F','M1535107174','es_wellnessandbeauty',2122.04,1
0,'C375144053','6','F','M980657600','es_sportsandtoys',2881.04,1
0,'C375144053','6','F','M980657600','es_sportsandtoys',2083.07,1
0,'C1490048317','6','F','M209847108','es_wellnessandbeauty',2432.27,1
0,'C1490048317','6','F','M209847108','es_wellnessandbeauty',2087.68,1
0,'C1685492470','2','F','M480139044','es_health',2289.21,1
0,'C1275518867','5','F','M480139044','es_health',2560.9,1
0,'C1977646698','3','F','M1198415165','es_wellnessandbeauty',2135.11,1
0,'C1977646698','3','F','M1198415165','es_wellnessandbeauty',2256.37,1
0,'C1560676680','2','F','M1888755466','es_otherservices',2066.6,1
0,'C1171622243','5','M','M1888755466','es_otherservices',2189.22,1
0,'C375144053','6','F','M980657600','es_sportsandtoys',2364.68,1
0,'C525850964','2','F','M980657600','es_sportsandtoys',2398.57,1
0,'C179390259','4','F','M547558035','es_fashion',2119.81,1
0,'C179390259','4','F','M547558035','es_fashion',2506.77,1
0,'C1685492470','2','F','M980657600','es_sportsandtoys',2383.14,1
0,'C375144053','6','F','M980657600','es_sportsandtoys',2321.7,1
0,'C1079254393','1','F','M480139044','es_health',2908.5,1
0,'C1175850429','4','M','M480139044','es_health',2142.86,1
1,'C1450140987','4','F','M980657600','es_sportsandtoys',2255.14,1
1,'C1450140987','4','F','M980657600','es_sportsandtoys',2021.93,1
1,'C1490048317','6','F','M1535107174','es_wellnessandbeauty',2212.16,1
1,'C1143401925','1','F','M1535107174','es_wellnessandbeauty',2329.13,1
1,'C436675602','2','M','M480139044','es_health',2933.69,1
1,'C894204131','1','M','M480139044','es_health',2132.13,1
1,'C583110837','3','M','M3697346','es_leisure',2285.16,1
1,'C1079254393','1','F','M3697346','es_leisure',2352.7,1
1,'C1174735331','3','F','M1649169323','es_sportsandtoys',3041.31,1
1,'C957324981','4','M','M1649169323','es_sportsandtoys',2591.83,1
1,'C375144053','6','F','M923029380','es_home',2298.44,1
1,'C375144053','6','F','M923029380','es_home',2112.77,1
1,'C1079254393','1','F','M480139044','es_health',2905.54,1
1,'C375144053','6','F','M480139044','es_health',3126.96,1
1,'C1273692645','3','M','M480139044','es_health',2222.26,1
1,'C1273692645','3','M','M480139044','es_health',2399.22,1
1,'C1764447156','3','F','M495352832','es_travel',5387.85,1
1,'C1354768768','1','F','M495352832','es_travel',8888.3,1
1,'C1464489812','4','M','M980657600','es_sportsandtoys',2397.63,1
1,'C309177915','3','M','M980657600','es_sportsandtoys',2092.01,1
1,'C1464489812','4','M','M480139044','es_health',2809.46,1
1,'C1338125837','3','F','M480139044','es_health',2896.93,1
1,'C1434797923','3','M','M857378720','es_hotelservices',2396.36,1
1,'C1275518867','5','F','M857378720','es_hotelservices',2661.53,1
1,'C1338125837','3','F','M480139044','es_health',2801.49,1
1,'C583110837','3','M','M480139044','es_health',2149.11,1
1,'C1275518867','5','F','M480139044','es_health',2265.33,1
1,'C1338125837','3','F','M480139044','es_health',2167.27,1
1,'C1181615831','3','M','M17379832','es_sportsandtoys',2836.04,1
1,'C1556534733','3','F','M17379832','es_sportsandtoys',2195.37,1
1,'C2018553540','4','F','M3697346','es_leisure',2326.34,1
1,'C2018553540','4','F','M3697346','es_leisure',2307.06,1
1,'C2005070127','2','F','M2122776122','es_home',2646.92,1
1,'C1275518867','5','F','M2122776122','es_home',2526.09,1
1,'C2079384186','2','F','M1294758098','es_leisure',2349.85,1
1,'C1237476993','1','M','M1294758098','es_leisure',2153.08,1
1,'C1685492470','2','F','M547558035','es_fashion',2141.83,1
1,'C1454826238','2','F','M547558035','es_fashion',2022.43,1
1,'C1791524453','2','F','M480139044','es_health',2388.51,1
1,'C1275518867','5','F','M480139044','es_health',2041.98,1
2,'C732771224','4','F','M2122776122','es_home',2788.67,1
2,'C422403315','0','F','M2122776122','es_home',3167.18,1
2,'C1949984685','2','F','M1294758098','es_leisure',2184.72,1
2,'C792341594','3','M','M1294758098','es_leisure',2258.01,1
2,'C1859195979','3','F','M857378720','es_hotelservices',2030.04,1
2,'C1859195979','3','F','M857378720','es_hotelservices',2586.05,1
2,'C179390259','4','F','M480139044','es_health',2663.53,1
2,'C553434543','2','M','M480139044','es_health',2297.09,1
2,'C1275518867','5','F','M1198415165','es_wellnessandbeauty',2110.9,1
2,'C1205257074','1','F','M1198415165','es_wellnessandbeauty',2486.35,1
2,'C1275518867','5','F','M980657600','es_sportsandtoys',3022.06,1
2,'C1560676680','2','F','M980657600','es_sportsandtoys',2532.05,1
2,'C1685492470','2','F','M17379832','es_sportsandtoys',2253.25,1
2,'C1367581052','4','M','M17379832','es_sportsandtoys',2038.2,1
2,'C1275518867','5','F','M480139044','es_health',2264.99,1
2,'C2079384186','2','F','M480139044','es_health',2143.1,1
2,'C1079254393','1','F','M923029380','es_home',2029.82,1
2,'C525850964','2','F','M923029380','es_home',2503.68,1
2,'C1312615175','4','F','M980657600','es_sportsandtoys',2478.89,1
2,'C1173530601','2','M','M980657600','es_sportsandtoys',2283.25,1
2,'C656851338','2','F','M1748431652','es_wellnessandbeauty',2243.05,1
2,'C1079254393','1','F','M1748431652','es_wellnessandbeauty',2415.19,1
2,'C576436654','6','F','M151143676','es_barsandrestaurants',2195.81,1
2,'C576436654','6','F','M151143676','es_barsandrestaurants',2042.64,1
2,'C1275518867','5','F','M732195782','es_travel',2891,1
2,'C1275518867','5','F','M732195782','es_travel',3304.93,1
2,'C615281750','3','F','M1888755466','es_otherservices',2041.48,1
2,'C1307336396','2','F','M1888755466','es_otherservices',2572.01,1
2,'C656901929','4','M','M1294758098','es_leisure',2242.03,1
2,'C1450140987','4','F','M1294758098','es_leisure',2272.16,1
2,'C1920498287','2','M','M980657600','es_sportsandtoys',2043.89,1
2,'C2018553540','4','F','M980657600','es_sportsandtoys',2546.26,1
2,'C525850964','2','F','M980657600','es_sportsandtoys',2158.25,1
2,'C1736605496','4','M','M980657600','es_sportsandtoys',2358.25,1
2,'C309177915','3','M','M980657600','es_sportsandtoys',3079.27,1
2,'C1744858817','6','M','M980657600','es_sportsandtoys',2404.39,1
2,'C1685492470','2','F','M732195782','es_travel',2653.5,1
2,'C375144053','6','F','M732195782','es_travel',9432.48,1
2,'C1231572628','3','F','M480139044','es_health',2490.84,1
2,'C1572610482','3','F','M480139044','es_health',2644.59,1
3,'C1342849651','1','M','M980657600','es_sportsandtoys',2084.65,1
3,'C1038215695','4','M','M980657600','es_sportsandtoys',2279.15,1
3,'C446179646','5','F','M840466850','es_tech',2585.13,1
3,'C446179646','5','F','M840466850','es_tech',2848.4,1
3,'C967677653','4','F','M855959430','es_hyper',2174.29,1
3,'C1307336396','2','F','M855959430','es_hyper',2131.24,1
3,'C126638730','3','F','M980657600','es_sportsandtoys',2281.12,1
3,'C1920498287','2','M','M980657600','es_sportsandtoys',2709.28,1
3,'C931370744','2','F','M980657600','es_sportsandtoys',2426.7,1
3,'C375144053','6','F','M980657600','es_sportsandtoys',2213.53,1
3,'C831905583','3','M','M840466850','es_tech',2124.92,1
3,'C553434543','2','M','M840466850','es_tech',2446.8,1
3,'C1338125837','3','F','M980657600','es_sportsandtoys',2108.07,1
3,'C330615170','2','F','M980657600','es_sportsandtoys',2005.69,1
3,'C553434543','2','M','M480139044','es_health',2149.94,1
3,'C1275518867','5','F','M480139044','es_health',2115.08,1
3,'C1338125837','3','F','M1888755466','es_otherservices',2386.21,1
3,'C1275518867','5','F','M1888755466','es_otherservices',2226.78,1
3,'C1734948367','3','M','M1888755466','es_otherservices',2571.7,1
3,'C85075290','3','F','M1888755466','es_otherservices',2389.98,1
3,'C1079254393','1','F','M3697346','es_leisure',2480.88,1
3,'C1560676680','2','F','M3697346','es_leisure',2504.97,1
3,'C525850964','2','F','M480139044','es_health',2643.71,1
3,'C1736605496','4','M','M480139044','es_health',2017.1,1
3,'C1360481565','5','F','M1741626453','es_sportsandtoys',2060.58,1
3,'C47809392','3','M','M1741626453','es_sportsandtoys',2260.03,1
3,'C1714895875','2','M','M980657600','es_sportsandtoys',2044.8,1
3,'C1317710133','3','M','M980657600','es_sportsandtoys',2356.47,1
3,'C525850964','2','F','M732195782','es_travel',6883.62,1
3,'C375144053','6','F','M732195782','es_travel',2237.95,1
3,'C515668508','3','F','M1741626453','es_sportsandtoys',2701.22,1
3,'C1275518867','5','F','M1741626453','es_sportsandtoys',2428.54,1
3,'C1949984685','2','F','M480139044','es_health',2716.17,1
3,'C555482626','3','F','M480139044','es_health',2699.94,1
3,'C1294166760','3','M','M980657600','es_sportsandtoys',2332.47,1
3,'C1994736634','4','F','M980657600','es_sportsandtoys',2361.28,1
3,'C1272326382','1','M','M732195782','es_travel',5334.89,1
3,'C583110837','3','M','M732195782','es_travel',7107.7,1
