step,customer,age,gender,merchant,category,amount,fraud
0,'C583110837','3','M','M480139044','es_health',10044.26,2044.26
0,'C1332295774','3','M','M480139044','es_health',10324.5,2324.5
0,'C1160421902','3','M','M857378720','es_hotelservices',10176.32,2176.32
0,'C966214713','3','M','M857378720','es_hotelservices',10337.41,2337.41
0,'C1450140987','4','F','M1198415165','es_wellnessandbeauty',10220.11,2220.11
0,'C60026962','2','F','M1198415165','es_wellnessandbeauty',10004.32,2004.32
0,'C1685492470','2','F','M980657600','es_sportsandtoys',10278.02,2278.02
0,'C1275518867','5','F','M980657600','es_sportsandtoys',10069.53,2069.53
0,'C1734487337','4','F','M1741626453','es_sportsandtoys',10070.15,2070.15
0,'C204205576','3','F','M1741626453','es_sportsandtoys',10238.82,2238.82
0,'C583110837','3','M','M480139044','es_health',10667.09,2667.09
0,'C1079254393','1','F','M480139044','es_health',10520.5,2520.5
0,'C330615170','2','F','M1535107174','es_wellnessandbeauty',10190.53,2190.53
0,'C330615170','2','F','M1535107174','es_wellnessandbeauty',10451.92,2451.92
0,'C1275518867','5','F','M980657600','es_sportsandtoys',10305.11,2305.11
0,'C1685492470','2','F','M980657600','es_sportsandtoys',10764,2764
0,'C1038215695','4','M','M2122776122','es_home',10328.02,2328.02
0,'C1764447156','3','F','M2122776122','es_home',10707.22,2707.22
0,'C555482626','3','F','M209847108','es_wellnessandbeauty',10198.58,2198.58
0,'C792341594','3','M','M209847108','es_wellnessandbeauty',10304.21,2304.21
0,'C2027310658','4','F','M1535107174','es_wellnessandbeauty',10154.77,2154.77
0,'C967677653','4','F','M1535107174','es_wellnessandbeauty',10122.04,2122.04
0,'C375144053','6','F','M980657600','es_sportsandtoys',10881.04,2881.04
0,'C375144053','6','F','M980657600','es_sportsandtoys',10083.07,2083.07
0,'C1490048317','6','F','M209847108','es_wellnessandbeauty',10432.27,2432.27
0,'C1490048317','6','F','M209847108','es_wellnessandbeauty',10087.68,2087.68
0,'C1685492470','2','F','M480139044','es_health',10289.21,2289.21
0,'C1275518867','5','F','M480139044','es_health',10560.9,2560.9
0,'C1977646698','3','F','M1198415165','es_wellnessandbeauty',10135.11,2135.11
0,'C1977646698','3','F','M1198415165','es_wellnessandbeauty',10256.37,2256.37
0,'C1560676680','2','F','M1888755466','es_otherservices',10066.6,2066.6
0,'C1171622243','5','M','M1888755466','es_otherservices',10189.22,2189.22
0,'C375144053','6','F','M980657600','es_sportsandtoys',10364.68,2364.68
0,'C525850964','2','F','M980657600','es_sportsandtoys',10398.57,2398.57
0,'C179390259','4','F','M547558035','es_fashion',10119.81,2119.81
0,'C179390259','4','F','M547558035','es_fashion',10506.77,2506.77
0,'C1685492470','2','F','M980657600','es_sportsandtoys',10383.14,2383.14
0,'C375144053','6','F','M980657600','es_sportsandtoys',10321.7,2321.7
0,'C1079254393','1','F','M480139044','es_health',10908.5,2908.5
0,'C1175850429','4','M','M480139044','es_health',10142.86,2142.86
1,'C1450140987','4','F','M980657600','es_sportsandtoys',10255.14,2255.14
1,'C1450140987','4','F','M980657600','es_sportsandtoys',10021.93,2021.93
1,'C1490048317','6','F','M1535107174','es_wellnessandbeauty',10212.16,2212.16
1,'C1143401925','1','F','M1535107174','es_wellnessandbeauty',10329.13,2329.13
1,'C436675602','2','M','M480139044','es_health',10933.69,2933.69
1,'C894204131','1','M','M480139044','es_health',10132.13,2132.13
1,'C583110837','3','M','M3697346','es_leisure',10285.16,2285.16
1,'C1079254393','1','F','M3697346','es_leisure',10352.7,2352.7
1,'C1174735331','3','F','M1649169323','es_sportsandtoys',11041.31,3041.31
1,'C957324981','4','M','M1649169323','es_sportsandtoys',10591.83,2591.83
1,'C375144053','6','F','M923029380','es_home',10298.44,2298.44
1,'C375144053','6','F','M923029380','es_home',10112.77,2112.77
1,'C1079254393','1','F','M480139044','es_health',10905.54,2905.54
1,'C375144053','6','F','M480139044','es_health',11126.96,3126.96
1,'C1273692645','3','M','M480139044','es_health',10222.26,2222.26
1,'C1273692645','3','M','M480139044','es_health',10399.22,2399.22
1,'C1764447156','3','F','M495352832','es_travel',13387.85,5387.85
1,'C1354768768','1','F','M495352832','es_travel',16888.3,8888.3
1,'C1464489812','4','M','M980657600','es_sportsandtoys',10397.63,2397.63
1,'C309177915','3','M','M980657600','es_sportsandtoys',10092.01,2092.01
1,'C1464489812','4','M','M480139044','es_health',10809.46,2809.46
1,'C1338125837','3','F','M480139044','es_health',10896.93,2896.93
1,'C1434797923','3','M','M857378720','es_hotelservices',10396.36,2396.36
1,'C1275518867','5','F','M857378720','es_hotelservices',10661.53,2661.53
1,'C1338125837','3','F','M480139044','es_health',10801.49,2801.49
1,'C583110837','3','M','M480139044','es_health',10149.11,2149.11
1,'C1275518867','5','F','M480139044','es_health',10265.33,2265.33
1,'C1338125837','3','F','M480139044','es_health',10167.27,2167.27
1,'C1181615831','3','M','M17379832','es_sportsandtoys',10836.04,2836.04
1,'C1556534733','3','F','M17379832','es_sportsandtoys',10195.37,2195.37
1,'C2018553540','4','F','M3697346','es_leisure',10326.34,2326.34
1,'C2018553540','4','F','M3697346','es_leisure',10307.06,2307.06
1,'C2005070127','2','F','M2122776122','es_home',10646.92,2646.92
