Income,Kidhome,Teenhome,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Customer_Days,Response
,1,0,72,42,7,43,20,12,10,0,0,0,0,0,2367,0
,0,0,14,783,30,537,140,76,15,0,0,0,0,0,2626,0
,0,0,24,3,18,14,15,22,50,0,0,0,0,0,2756,1
,1,1,40,29,0,8,2,0,6,0,0,0,0,0,2260,0
,1,0,29,16,17,19,20,21,22,0,0,0,0,0,2820,1
,1,1,64,379,4,93,12,9,98,0,0,0,0,0,2523,0
,0,1,3,180,32,348,76,32,90,0,0,0,0,0,2520,0
,1,0,36,4,2,5,2,0,0,0,0,0,0,0,2346,0
,0,0,8,559,153,503,218,13,181,0,0,0,1,0,2372,1
,1,0,60,1,2,8,4,3,13,1,0,0,0,0,2786,1
,0,2,99,169,24,553,188,0,144,0,1,1,0,0,2825,1
,0,1,97,35,0,13,2,0,2,0,0,0,0,0,2393,0
,0,1,56,95,14,64,2,9,38,0,0,0,0,0,2214,0
,0,1,69,432,79,341,177,136,170,0,0,0,0,0,2616,0
,1,0,15,88,10,46,2,3,64,0,0,0,0,0,2706,1
,1,0,38,252,3,42,4,3,102,0,0,0,0,0,2737,0
,1,1,21,410,0,59,19,9,44,0,0,0,0,0,2683,0
,0,1,27,200,5,44,0,10,20,0,0,0,0,0,2491,0
,1,1,6,68,0,16,0,0,8,0,0,0,0,0,2443,0
,1,1,84,22,2,10,6,4,34,0,0,0,0,0,2545,0
,1,0,46,7,5,39,17,15,37,0,0,0,0,0,2284,0
,0,0,54,587,54,348,71,54,130,0,0,0,0,0,2406,0
,0,1,39,313,15,47,20,0,192,0,0,0,0,0,2854,1
,1,1,70,77,2,35,0,1,69,1,0,0,0,0,2781,1
,1,0,67,15,20,25,2,7,26,0,0,0,0,0,2680,1
,0,1,4,738,0,232,13,20,50,0,0,0,0,0,2386,1
,0,1,63,757,80,217,29,80,11,0,0,0,0,0,2845,0
,0,0,86,389,66,408,37,57,85,0,0,0,0,0,2461,0
,1,1,87,623,53,178,23,17,133,0,1,0,0,0,2623,0
110161,,1,9,177,2,71,3,2,20,0,0,0,0,0,2670,1
113972,,1,90,67,15,80,17,11,80,0,0,0,0,0,2511,0
71840,,1,37,15,0,8,4,2,20,1,0,0,0,0,2200,1
92835,,1,25,8,2,4,0,0,1,0,0,0,0,0,2257,0
125903,,0,99,0,6,3,7,6,12,0,0,0,0,0,2263,0
69485,,1,34,356,0,107,19,9,117,0,0,0,0,0,2490,0
